keyword,industry,category,volume_au,volume_nz,total_volume
construction equipment hire,Construction/Infrastructure,General Equipment,210,10,220
construction site storage,Construction/Infrastructure,Mobile Storage/Containers,20,10,30
construction machinery rental,Construction/Infrastructure,General Equipment,90,10,100
mining equipment hire,Mining,General Equipment,140,10,150
mining containers,Mining,Mobile Storage/Containers,10,10,20
infrastructure equipment,Construction/Infrastructure,General Equipment,10,10,20
civil construction equipment,Construction/Infrastructure,General Equipment,50,10,60
agricultural machinery rental,Agriculture,General Equipment,10,10,20
event equipment hire,Events,General Equipment,90,10,100
